complaint_text,category,department
"The garbage collection service is insufficient, and trash piles up in the parking area.",Garbage Collection,Waste Management Department
"The road near our office is under construction, causing major delays for employees.",Roads,Public Works Department
"The water supply system is outdated, and there are frequent interruptions in service.",Water Supply,Water Department
"The electricity in the office keeps flickering, and the power grid is unstable.",Electricity Bills (EB),Electricity Department
"The waste collection in our area is inconsistent, causing garbage to accumulate in the streets.",Garbage Collection,Waste Management Department
"The road leading to the office has no proper lighting, making it unsafe at night.",Roads,Public Works Department
"Water leaks in the office building are frequent, and plumbing repairs are needed immediately.",Water Supply,Water Department
"The electricity meters in our office are faulty, resulting in excessive and inaccurate billing.",Electricity Bills (EB),Electricity Department
"Garbage collection is slow, and we need better waste management in our industrial area.",Garbage Collection,Waste Management Department
"The road near our building is not properly maintained, causing damage to our vehicles.",Roads,Public Works Department
The water supply in the office building is erratic and frequently stops without notice.,Water Supply,Water Department
"The electricity supply is unreliable, and we need a more stable power source for our building.",Electricity Bills (EB),Electricity Department
"Garbage collection is inefficient, and trash bins are not emptied regularly.",Garbage Collection,Waste Management Department
"The road near our office has multiple cracks and potholes, which need urgent repair.",Roads,Public Works Department
"We are experiencing frequent water supply interruptions, which affect the office operations.",Water Supply,Water Department
"The electricity bill for the office is much higher than expected, and we need an audit.",Electricity Bills (EB),Electricity Department
"Garbage collection service is irregular, and waste is accumulating around the building.",Garbage Collection,Waste Management Department
"The road near our office is filled with potholes, causing car accidents.",Roads,Public Works Department
The water supply in our building has been shut off multiple times without prior notice.,Water Supply,Water Department
Electricity surges in our office are damaging equipment and causing disruptions.,Electricity Bills (EB),Electricity Department
"The garbage collection service is slow, and waste is piling up in the vicinity of the office.",Garbage Collection,Waste Management Department
"The road leading to our office is under construction, causing significant delays during commutes.",Roads,Public Works Department
The water supply system in the office needs urgent repairs to prevent future disruptions.,Water Supply,Water Department
"We have been overcharged for electricity, and the billing system needs to be reviewed.",Electricity Bills (EB),Electricity Department
"The garbage bins are overflowing, and we are facing major hygiene issues in the office vicinity.",Garbage Collection,Waste Management Department
"The road near our office needs resurfacing, and traffic congestion is a major issue.",Roads,Public Works Department
"The water supply in the office building is unreliable, leading to operational disruptions.",Water Supply,Water Department
"There is a lack of consistent power supply to our office, and frequent outages are disrupting work.",Electricity Bills (EB),Electricity Department
"The garbage collection service is inconsistent, and waste is piling up around the building.",Garbage Collection,Waste Management Department
"The road near our office is in poor condition, and driving is hazardous.",Roads,Public Works Department
"The water pressure in our office building is too low, and we need a better supply system.",Water Supply,Water Department
"The electricity bill is consistently higher than expected, and we need clarification on charges.",Electricity Bills (EB),Electricity Department
"The garbage collection service is unreliable, and trash is not being picked up regularly.",Garbage Collection,Waste Management Department
"The road near the office needs urgent repairs, and it’s causing significant delays in commuting.",Roads,Public Works Department
